file,variant,primary_label,primary_conf,top1,p1,top2,p2,top3,p3
addison1-001002_0165_1-2.wav,orig,guitar,1.000000,guitar,1.000000,voice,0.000000,winds_brass,0.000000
addison1-001002_0165_1-2.wav,down2,guitar,0.924592,guitar,0.924592,synth,0.075408,piano,0.000000
addison1-001002_0165_1-2.wav,up2,guitar,1.000000,guitar,1.000000,strings,0.000000,voice,0.000000
addison2-001002_0165_1-2.wav,orig,guitar,1.000000,guitar,1.000000,winds_brass,0.000000,voice,0.000000
addison2-001002_0165_1-2.wav,down2,guitar,0.972237,guitar,0.972237,synth,0.027762,piano,0.000000
addison2-001002_0165_1-2.wav,up2,guitar,1.000000,guitar,1.000000,strings,0.000000,voice,0.000000
ambienceHoneyBee-001004_0206_1-2.wav,orig,guitar,0.890162,guitar,0.890162,voice,0.105369,winds_brass,0.004417
ambienceHoneyBee-001004_0206_1-2.wav,down2,guitar,0.999687,guitar,0.999687,synth,0.000313,piano,0.000000
ambienceHoneyBee-001004_0206_1-2.wav,up2,guitar,1.000000,guitar,1.000000,strings,0.000000,piano,0.000000
ambulance1-001010_0293_1-2.wav,orig,winds_brass,0.999992,winds_brass,0.999992,guitar,0.000003,synth,0.000003
ambulance1-001010_0293_1-2.wav,down2,synth,0.624305,synth,0.624305,piano,0.375671,guitar,0.000024
ambulance1-001010_0293_1-2.wav,up2,voice,0.999988,voice,0.999988,strings,0.000012,guitar,0.000000
banjoBroken1-001008_0288_1-2.wav,orig,winds_brass,0.999843,winds_brass,0.999843,guitar,0.000151,bass,0.000005
banjoBroken1-001008_0288_1-2.wav,down2,synth,0.999993,synth,0.999993,guitar,0.000007,bass,0.000000
banjoBroken1-001008_0288_1-2.wav,up2,winds_brass,0.999168,winds_brass,0.999168,strings,0.000832,synth,0.000000
banjoBroken10Loop-001008_0288_1-2.wav,orig,piano,0.998627,piano,0.998627,winds_brass,0.001371,strings,0.000002
banjoBroken10Loop-001008_0288_1-2.wav,down2,synth,0.990575,synth,0.990575,guitar,0.009269,piano,0.000156
banjoBroken10Loop-001008_0288_1-2.wav,up2,winds_brass,0.795379,winds_brass,0.795379,strings,0.204621,synth,0.000000
banjoBroken11Loop-001008_0288_1-2.wav,orig,piano,1.000000,piano,1.000000,strings,0.000000,winds_brass,0.000000
banjoBroken11Loop-001008_0288_1-2.wav,down2,synth,0.990173,synth,0.990173,guitar,0.008813,piano,0.001014
banjoBroken11Loop-001008_0288_1-2.wav,up2,strings,0.967632,strings,0.967632,winds_brass,0.020712,hihat,0.011656
banjoBroken12Loop-001008_0288_1-2.wav,orig,piano,0.998777,piano,0.998777,winds_brass,0.001223,guitar,0.000001
banjoBroken12Loop-001008_0288_1-2.wav,down2,synth,0.963733,synth,0.963733,guitar,0.036265,voice,0.000001
banjoBroken12Loop-001008_0288_1-2.wav,up2,winds_brass,0.591528,winds_brass,0.591528,strings,0.408471,synth,0.000000
banjoBroken13Loop-001008_0288_1-2.wav,orig,piano,0.999971,piano,0.999971,winds_brass,0.000029,guitar,0.000000
banjoBroken13Loop-001008_0288_1-2.wav,down2,synth,0.869095,synth,0.869095,guitar,0.130895,piano,0.000010
banjoBroken13Loop-001008_0288_1-2.wav,up2,hihat,1.000000,hihat,1.000000,strings,0.000000,winds_brass,0.000000
banjoBroken14Loop-001008_0288_1-2.wav,orig,piano,1.000000,piano,1.000000,winds_brass,0.000000,guitar,0.000000
banjoBroken14Loop-001008_0288_1-2.wav,down2,synth,0.991977,synth,0.991977,piano,0.007142,guitar,0.000880
banjoBroken14Loop-001008_0288_1-2.wav,up2,strings,0.996401,strings,0.996401,hihat,0.002449,winds_brass,0.001150
banjoBroken15Loop-001008_0288_1-2.wav,orig,piano,1.000000,piano,1.000000,winds_brass,0.000000,guitar,0.000000
banjoBroken15Loop-001008_0288_1-2.wav,down2,synth,0.984682,synth,0.984682,piano,0.013606,guitar,0.001712
banjoBroken15Loop-001008_0288_1-2.wav,up2,hihat,0.999969,hihat,0.999969,strings,0.000020,winds_brass,0.000012
banjoBroken16-001008_0288_1-2.wav,orig,winds_brass,0.773616,winds_brass,0.773616,piano,0.225853,guitar,0.000449
banjoBroken16-001008_0288_1-2.wav,down2,synth,0.943975,synth,0.943975,guitar,0.056025,piano,0.000000
banjoBroken16-001008_0288_1-2.wav,up2,winds_brass,0.998620,winds_brass,0.998620,strings,0.001380,piano,0.000000
banjoBroken17-001008_0288_1-2.wav,orig,piano,0.999996,piano,0.999996,strings,0.000002,guitar,0.000001
banjoBroken17-001008_0288_1-2.wav,down2,synth,0.999991,synth,0.999991,guitar,0.000009,piano,0.000000
banjoBroken17-001008_0288_1-2.wav,up2,winds_brass,0.988341,winds_brass,0.988341,strings,0.011659,synth,0.000000
banjoBroken18Loop-001008_0288_1-2.wav,orig,piano,0.952063,piano,0.952063,strings,0.028318,winds_brass,0.013949
banjoBroken18Loop-001008_0288_1-2.wav,down2,synth,0.958380,synth,0.958380,guitar,0.041620,piano,0.000000
banjoBroken18Loop-001008_0288_1-2.wav,up2,winds_brass,0.766619,winds_brass,0.766619,strings,0.233381,synth,0.000000
banjoBroken19-001008_0288_1-2.wav,orig,piano,0.990019,piano,0.990019,guitar,0.007959,winds_brass,0.002005
banjoBroken19-001008_0288_1-2.wav,down2,synth,0.997555,synth,0.997555,guitar,0.002445,piano,0.000000
