file,variant,primary_label,primary_conf,top1,p1,top2,p2,top3,p3
banjoBroken2-001008_0288_1-2.wav,down2,synth,1.000000,synth,1.000000,toms,0.000000,piano,0.000000
banjoBroken2-001008_0288_1-2.wav,up2,strings,0.983274,strings,0.983274,synth,0.014607,piano,0.002107
banjoBroken3Loop-001008_0288_1-2.wav,orig,piano,1.000000,piano,1.000000,winds_brass,0.000000,guitar,0.000000
banjoBroken3Loop-001008_0288_1-2.wav,down2,synth,0.995798,synth,0.995798,piano,0.004195,bass,0.000007
banjoBroken3Loop-001008_0288_1-2.wav,up2,strings,1.000000,strings,1.000000,piano,0.000000,winds_brass,0.000000
banjoBroken4Loop-001008_0288_1-2.wav,orig,piano,1.000000,piano,1.000000,winds_brass,0.000000,bass,0.000000
banjoBroken4Loop-001008_0288_1-2.wav,down2,synth,0.999257,synth,0.999257,piano,0.000743,guitar,0.000000
banjoBroken4Loop-001008_0288_1-2.wav,up2,strings,0.999995,strings,0.999995,piano,0.000005,winds_brass,0.000000
banjoBroken5-001008_0288_1-2.wav,orig,piano,0.897522,piano,0.897522,synth,0.052563,toms,0.049915
banjoBroken5-001008_0288_1-2.wav,down2,synth,1.000000,synth,1.000000,piano,0.000000,toms,0.000000
banjoBroken5-001008_0288_1-2.wav,up2,piano,0.979453,piano,0.979453,strings,0.020523,winds_brass,0.000011
banjoBroken6-001008_0288_1-2.wav,orig,piano,0.813935,piano,0.813935,synth,0.125548,toms,0.060518
banjoBroken6-001008_0288_1-2.wav,down2,synth,1.000000,synth,1.000000,piano,0.000000,toms,0.000000
banjoBroken6-001008_0288_1-2.wav,up2,piano,0.799299,piano,0.799299,cymbals,0.194204,strings,0.003601
banjoBroken7-001008_0288_1-2.wav,orig,piano,0.860161,piano,0.860161,synth,0.139839,winds_brass,0.000000
banjoBroken7-001008_0288_1-2.wav,down2,synth,1.000000,synth,1.000000,piano,0.000000,toms,0.000000
banjoBroken7-001008_0288_1-2.wav,up2,piano,0.730435,piano,0.730435,synth,0.200497,strings,0.069065
banjoBroken8Loop-001008_0288_1-2.wav,orig,winds_brass,0.994899,winds_brass,0.994899,piano,0.005100,guitar,0.000001
banjoBroken8Loop-001008_0288_1-2.wav,down2,voice,1.000000,voice,1.000000,synth,0.000000,guitar,0.000000
banjoBroken8Loop-001008_0288_1-2.wav,up2,strings,0.998488,strings,0.998488,guitar,0.001511,winds_brass,0.000001
banjoBroken9Loop-001008_0288_1-2.wav,orig,piano,1.000000,piano,1.000000,synth,0.000000,strings,0.000000
banjoBroken9Loop-001008_0288_1-2.wav,down2,piano,0.502770,piano,0.502770,synth,0.497230,guitar,0.000000
banjoBroken9Loop-001008_0288_1-2.wav,up2,strings,0.999027,strings,0.999027,cymbals,0.000973,guitar,0.000000
barkCrunch1-001002_0170_1-2.wav,orig,guitar,1.000000,guitar,1.000000,cymbals,0.000000,synth,0.000000
barkCrunch1-001002_0170_1-2.wav,down2,synth,0.999999,synth,0.999999,guitar,0.000001,piano,0.000000
barkCrunch1-001002_0170_1-2.wav,up2,cymbals,1.000000,cymbals,1.000000,toms,0.000000,guitar,0.000000
barkCrunch2-001002_0170_1-2.wav,orig,guitar,0.813265,guitar,0.813265,piano,0.186485,winds_brass,0.000218
barkCrunch2-001002_0170_1-2.wav,down2,guitar,0.952517,guitar,0.952517,synth,0.047483,piano,0.000000
barkCrunch2-001002_0170_1-2.wav,up2,guitar,1.000000,guitar,1.000000,cymbals,0.000000,voice,0.000000
barkCrunch3-001002_0170_1-2.wav,orig,guitar,0.999991,guitar,0.999991,voice,0.000009,winds_brass,0.000000
barkCrunch3-001002_0170_1-2.wav,down2,guitar,0.999948,guitar,0.999948,voice,0.000052,synth,0.000000
barkCrunch3-001002_0170_1-2.wav,up2,guitar,1.000000,guitar,1.000000,voice,0.000000,cymbals,0.000000
barkCrunch4-001002_0170_1-2.wav,orig,guitar,0.603751,guitar,0.603751,winds_brass,0.396249,piano,0.000000
barkCrunch4-001002_0170_1-2.wav,down2,synth,0.992462,synth,0.992462,guitar,0.007538,voice,0.000000
barkCrunch4-001002_0170_1-2.wav,up2,guitar,1.000000,guitar,1.000000,strings,0.000000,cymbals,0.000000
barkCrunch5-001002_0170_1-2.wav,orig,guitar,1.000000,guitar,1.000000,winds_brass,0.000000,piano,0.000000
barkCrunch5-001002_0170_1-2.wav,down2,synth,1.000000,synth,1.000000,guitar,0.000000,piano,0.000000
barkCrunch5-001002_0170_1-2.wav,up2,guitar,0.999992,guitar,0.999992,cymbals,0.000008,hihat,0.000000
barkCrunch6-001002_0170_1-2.wav,orig,winds_brass,0.971485,winds_brass,0.971485,guitar,0.021166,toms,0.007349
barkCrunch6-001002_0170_1-2.wav,down2,synth,1.000000,synth,1.000000,piano,0.000000,guitar,0.000000
barkCrunch6-001002_0170_1-2.wav,up2,cymbals,0.999977,cymbals,0.999977,toms,0.000023,guitar,0.000000
barkCrunch7-001002_0170_1-2.wav,orig,guitar,1.000000,guitar,1.000000,piano,0.000000,toms,0.000000
barkCrunch7-001002_0170_1-2.wav,down2,synth,0.998247,synth,0.998247,guitar,0.001753,voice,0.000000
barkCrunch7-001002_0170_1-2.wav,up2,cymbals,0.813238,cymbals,0.813238,guitar,0.186762,toms,0.000000
barkCrunch8-001002_0170_1-2.wav,orig,piano,0.976412,piano,0.976412,guitar,0.023588,winds_brass,0.000000
barkCrunch8-001002_0170_1-2.wav,down2,synth,0.999539,synth,0.999539,guitar,0.000461,piano,0.000000
barkCrunch8-001002_0170_1-2.wav,up2,guitar,1.000000,guitar,1.000000,voice,0.000000,cymbals,0.000000
barkCrunchAgain1-001007_0269_1-2.wav,orig,toms,0.999998,toms,0.999998,winds_brass,0.000002,voice,0.000000
barkCrunchAgain1-001007_0269_1-2.wav,down2,synth,1.000000,synth,1.000000,guitar,0.000000,voice,0.000000
barkCrunchAgain1-001007_0269_1-2.wav,up2,cymbals,0.999997,cymbals,0.999997,guitar,0.000003,voice,0.000000
barkCrunchAgain2-001007_0269_1-2.wav,orig,hihat,0.965824,hihat,0.965824,toms,0.034176,cymbals,0.000000
barkCrunchAgain2-001007_0269_1-2.wav,down2,synth,1.000000,synth,1.000000,piano,0.000000,toms,0.000000
barkCrunchAgain2-001007_0269_1-2.wav,up2,cymbals,0.999931,cymbals,0.999931,toms,0.000068,hihat,0.000001
barkCrunchAgain3-001007_0269_1-2.wav,orig,toms,0.996682,toms,0.996682,hihat,0.003318,winds_brass,0.000000
barkCrunchAgain3-001007_0269_1-2.wav,down2,synth,1.000000,synth,1.000000,guitar,0.000000,piano,0.000000
barkCrunchAgain3-001007_0269_1-2.wav,up2,toms,0.999998,toms,0.999998,guitar,0.000002,hihat,0.000000
basketball1-000927_0069_1-2.wav,orig,piano,0.943692,piano,0.943692,synth,0.056308,toms,0.000000
basketball1-000927_0069_1-2.wav,down2,synth,0.999945,synth,0.999945,piano,0.000055,toms,0.000000
basketball1-000927_0069_1-2.wav,up2,toms,0.821188,toms,0.821188,synth,0.178782,piano,0.000014
basketball10-000927_0069_1-2.wav,orig,toms,0.995659,toms,0.995659,piano,0.004316,synth,0.000025
basketball10-000927_0069_1-2.wav,down2,synth,0.979245,synth,0.979245,piano,0.020755,toms,0.000000
basketball10-000927_0069_1-2.wav,up2,toms,0.999989,toms,0.999989,hihat,0.000011,piano,0.000001
basketball11-000927_0069_1-2.wav,orig,piano,0.999998,piano,0.999998,synth,0.000002,winds_brass,0.000000
basketball11-000927_0069_1-2.wav,down2,piano,0.687395,piano,0.687395,synth,0.312605,toms,0.000000
basketball11-000927_0069_1-2.wav,up2,cymbals,0.999999,cymbals,0.999999,toms,0.000001,piano,0.000000
basketball12-000927_0069_1-2.wav,orig,piano,0.970851,piano,0.970851,synth,0.027128,toms,0.002021
basketball12-000927_0069_1-2.wav,down2,synth,1.000000,synth,1.000000,piano,0.000000,toms,0.000000
basketball12-000927_0069_1-2.wav,up2,toms,0.999985,toms,0.999985,piano,0.000015,synth,0.000000
basketball13-000927_0069_1-2.wav,orig,piano,0.830151,piano,0.830151,synth,0.161635,guitar,0.008212
basketball13-000927_0069_1-2.wav,down2,synth,0.999986,synth,0.999986,piano,0.000014,voice,0.000000
basketball13-000927_0069_1-2.wav,up2,guitar,1.000000,guitar,1.000000,strings,0.000000,synth,0.000000
basketball14-000927_0069_1-2.wav,orig,synth,0.641387,synth,0.641387,toms,0.348856,piano,0.009755
basketball14-000927_0069_1-2.wav,down2,synth,0.997073,synth,0.997073,piano,0.002927,toms,0.000000
basketball14-000927_0069_1-2.wav,up2,toms,0.990526,toms,0.990526,hihat,0.007014,synth,0.002434
basketball15-000927_0069_1-2.wav,orig,piano,0.991846,piano,0.991846,winds_brass,0.008053,toms,0.000101
basketball15-000927_0069_1-2.wav,down2,piano,0.653534,piano,0.653534,synth,0.346466,toms,0.000000
basketball15-000927_0069_1-2.wav,up2,cymbals,0.952133,cymbals,0.952133,toms,0.047104,piano,0.000729
basketball16-000927_0069_1-2.wav,orig,piano,0.957976,piano,0.957976,toms,0.025440,synth,0.016584
basketball16-000927_0069_1-2.wav,down2,piano,0.794354,piano,0.794354,synth,0.205646,toms,0.000000
basketball16-000927_0069_1-2.wav,up2,toms,0.999964,toms,0.999964,hihat,0.000029,cymbals,0.000006
basketball17-000927_0069_1-2.wav,orig,piano,0.758044,piano,0.758044,synth,0.241954,toms,0.000002
basketball17-000927_0069_1-2.wav,down2,synth,0.968827,synth,0.968827,piano,0.031173,toms,0.000000
basketball17-000927_0069_1-2.wav,up2,synth,0.730990,synth,0.730990,toms,0.237376,hihat,0.023656
basketball18-000927_0069_1-2.wav,orig,synth,1.000000,synth,1.000000,piano,0.000000,toms,0.000000
basketball18-000927_0069_1-2.wav,down2,synth,1.000000,synth,1.000000,piano,0.000000,toms,0.000000
basketball18-000927_0069_1-2.wav,up2,synth,0.999974,synth,0.999974,toms,0.000026,piano,0.000000
basketball19-000927_0069_1-2.wav,orig,synth,0.705191,synth,0.705191,piano,0.272354,winds_brass,0.022455
