file,variant,primary_label,primary_conf,top1,p1,top2,p2,top3,p3
banjoBroken2-001008_0288_1-2.wav,down2,bass,0.994407,bass,0.994407,synth,0.005593,piano,0.000000
banjoBroken2-001008_0288_1-2.wav,up2,synth,0.995256,synth,0.995256,piano,0.004740,toms,0.000004
banjoBroken3Loop-001008_0288_1-2.wav,orig,piano,1.000000,piano,1.000000,winds_brass,0.000000,guitar,0.000000
banjoBroken3Loop-001008_0288_1-2.wav,down2,piano,0.901434,piano,0.901434,synth,0.098560,bass,0.000006
banjoBroken3Loop-001008_0288_1-2.wav,up2,strings,0.721698,strings,0.721698,synth,0.154433,cymbals,0.085928
banjoBroken4Loop-001008_0288_1-2.wav,orig,piano,1.000000,piano,1.000000,winds_brass,0.000000,bass,0.000000
banjoBroken4Loop-001008_0288_1-2.wav,down2,piano,0.998465,piano,0.998465,synth,0.001535,bass,0.000000
banjoBroken4Loop-001008_0288_1-2.wav,up2,cymbals,0.999833,cymbals,0.999833,toms,0.000088,strings,0.000046
banjoBroken5-001008_0288_1-2.wav,orig,piano,0.897522,piano,0.897522,synth,0.052563,toms,0.049915
banjoBroken5-001008_0288_1-2.wav,down2,synth,0.999981,synth,0.999981,piano,0.000019,guitar,0.000000
banjoBroken5-001008_0288_1-2.wav,up2,synth,0.997461,synth,0.997461,toms,0.002349,piano,0.000190
banjoBroken6-001008_0288_1-2.wav,orig,piano,0.813935,piano,0.813935,synth,0.125548,toms,0.060518
banjoBroken6-001008_0288_1-2.wav,down2,synth,1.000000,synth,1.000000,piano,0.000000,guitar,0.000000
banjoBroken6-001008_0288_1-2.wav,up2,synth,0.999096,synth,0.999096,piano,0.000881,toms,0.000023
banjoBroken7-001008_0288_1-2.wav,orig,piano,0.860161,piano,0.860161,synth,0.139839,winds_brass,0.000000
banjoBroken7-001008_0288_1-2.wav,down2,synth,1.000000,synth,1.000000,piano,0.000000,bass,0.000000
banjoBroken7-001008_0288_1-2.wav,up2,synth,0.999481,synth,0.999481,piano,0.000519,toms,0.000000
banjoBroken8Loop-001008_0288_1-2.wav,orig,winds_brass,0.994899,winds_brass,0.994899,piano,0.005100,guitar,0.000001
banjoBroken8Loop-001008_0288_1-2.wav,down2,synth,0.997471,synth,0.997471,piano,0.002529,guitar,0.000000
banjoBroken8Loop-001008_0288_1-2.wav,up2,cymbals,1.000000,cymbals,1.000000,toms,0.000000,strings,0.000000
banjoBroken9Loop-001008_0288_1-2.wav,orig,piano,1.000000,piano,1.000000,synth,0.000000,strings,0.000000
banjoBroken9Loop-001008_0288_1-2.wav,down2,synth,0.865460,synth,0.865460,guitar,0.091210,piano,0.043330
banjoBroken9Loop-001008_0288_1-2.wav,up2,toms,0.999844,toms,0.999844,cymbals,0.000137,winds_brass,0.000008
barkCrunch1-001002_0170_1-2.wav,orig,guitar,1.000000,guitar,1.000000,cymbals,0.000000,synth,0.000000
barkCrunch1-001002_0170_1-2.wav,down2,guitar,1.000000,guitar,1.000000,synth,0.000000,piano,0.000000
barkCrunch1-001002_0170_1-2.wav,up2,cymbals,0.547393,cymbals,0.547393,toms,0.443808,hihat,0.008799
barkCrunch2-001002_0170_1-2.wav,orig,guitar,0.813265,guitar,0.813265,piano,0.186485,winds_brass,0.000218
barkCrunch2-001002_0170_1-2.wav,down2,guitar,1.000000,guitar,1.000000,synth,0.000000,piano,0.000000
barkCrunch2-001002_0170_1-2.wav,up2,cymbals,0.999998,cymbals,0.999998,toms,0.000002,hihat,0.000000
barkCrunch3-001002_0170_1-2.wav,orig,guitar,0.999991,guitar,0.999991,voice,0.000009,winds_brass,0.000000
barkCrunch3-001002_0170_1-2.wav,down2,guitar,1.000000,guitar,1.000000,synth,0.000000,voice,0.000000
barkCrunch3-001002_0170_1-2.wav,up2,hihat,0.618391,hihat,0.618391,toms,0.381583,cymbals,0.000026
barkCrunch4-001002_0170_1-2.wav,orig,guitar,0.603751,guitar,0.603751,winds_brass,0.396249,piano,0.000000
barkCrunch4-001002_0170_1-2.wav,down2,guitar,1.000000,guitar,1.000000,synth,0.000000,piano,0.000000
barkCrunch4-001002_0170_1-2.wav,up2,cymbals,0.849554,cymbals,0.849554,toms,0.150446,hihat,0.000000
